modelb128e100_more_data_arch.pth
Average Loss,Accuracy,Precision,Recall,F1 Score,MCC,IoU
0.018260231757371816,0.9935649506535076,0.9843799472295515,0.9951984635083226,0.98975964344458,0.9850994857602985,0.9797268907563025
.
.
.
